,registrar,enrolment_agency,state,district,sub_district,pin_code,gender,age,aadhaar_generated,enrolment_rejected,residents_providing_email,residents_providing_mobile_number
0,Allahabad Bank,Tera Software Ltd,Jharkhand,Ranchi,Namkum,834003,M,63.0,0.0,1.0,0.0,1.0
1,Allahabad Bank,Tera Software Ltd,Jharkhand,Ranchi,Ranchi,834004,F,36.0,0.0,1.0,0.0,1.0
2,Allahabad Bank,Vakrangee Softwares Limited,Gujarat,Surat,Nizar,394380,M,10.0,1.0,0.0,0.0,0.0
3,Allahabad Bank,Vakrangee Softwares Limited,Himachal Pradesh,Kangra,Baijnath,176081,M,44.0,1.0,0.0,1.0,1.0
4,Allahabad Bank,Vakrangee Softwares Limited,Madhya Pradesh,Chhindwara,Pandhurna,480334,M,35.0,1.0,0.0,0.0,0.0
5,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Nevasa,414105,M,28.0,1.0,0.0,0.0,0.0
6,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahta,413711,M,31.0,0.0,1.0,0.0,0.0
7,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahta,423107,F,9.0,0.0,1.0,0.0,0.0
8,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahta,423107,F,35.0,0.0,1.0,0.0,0.0
9,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahta,423107,M,33.0,0.0,1.0,0.0,1.0
10,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahta,423107,M,56.0,0.0,1.0,0.0,0.0
11,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahta,423107,M,64.0,0.0,1.0,0.0,0.0
12,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahuri,413706,F,55.0,0.0,1.0,0.0,0.0
13,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahuri,413715,F,31.0,0.0,1.0,0.0,0.0
14,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahuri,413715,F,35.0,0.0,1.0,0.0,0.0
15,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahuri,413715,F,49.0,0.0,1.0,0.0,0.0
16,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahuri,413715,F,65.0,0.0,1.0,0.0,0.0
17,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahuri,413715,M,19.0,0.0,1.0,0.0,0.0
18,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahuri,413715,M,22.0,0.0,1.0,0.0,0.0
19,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahuri,413715,M,47.0,0.0,1.0,0.0,0.0
20,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Rahuri,413715,M,65.0,0.0,1.0,0.0,0.0
21,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmadnagar,Sangamner,413714,F,28.0,0.0,1.0,0.0,1.0
22,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Karjat,414402,F,19.0,0.0,1.0,0.0,0.0
23,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,10.0,0.0,1.0,0.0,1.0
24,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,14.0,0.0,1.0,0.0,1.0
25,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,15.0,0.0,1.0,0.0,0.0
26,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,16.0,0.0,1.0,0.0,0.0
27,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,17.0,0.0,1.0,0.0,0.0
28,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,20.0,0.0,1.0,0.0,0.0
29,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,23.0,0.0,1.0,0.0,0.0
30,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,28.0,0.0,2.0,0.0,1.0
31,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,30.0,0.0,1.0,0.0,0.0
32,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,37.0,0.0,1.0,0.0,0.0
33,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,39.0,0.0,1.0,0.0,0.0
34,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,45.0,0.0,1.0,0.0,1.0
35,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,F,68.0,0.0,1.0,0.0,0.0
36,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,12.0,0.0,1.0,0.0,0.0
37,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,13.0,0.0,3.0,0.0,0.0
38,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,15.0,0.0,1.0,0.0,1.0
39,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,17.0,0.0,1.0,0.0,1.0
40,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,20.0,0.0,1.0,0.0,0.0
41,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,22.0,0.0,1.0,1.0,1.0
42,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,23.0,0.0,1.0,0.0,0.0
43,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,27.0,0.0,1.0,0.0,1.0
44,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,38.0,0.0,1.0,0.0,0.0
45,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,40.0,0.0,1.0,0.0,0.0
46,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,43.0,0.0,1.0,0.0,1.0
47,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,44.0,0.0,1.0,0.0,0.0
48,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,46.0,0.0,1.0,0.0,0.0
49,Allahabad Bank,Vakrangee Softwares Limited,Maharashtra,Ahmed Nagar,Kopargaon,413708,M,53.0,0.0,1.0,0.0,0.0
